Load Zone,State,Term (Months),Beginning Date,Energy,Variable Load Risk (VLR)
NEMASSBOST,MA,1,2/1/2023,$171.92 ,6.4304
NEMASSBOST,MA,1,3/1/2023,$105.24 ,4.7755
NEMASSBOST,MA,1,4/1/2023,$64.19 ,1.529325
NEMASSBOST,MA,1,5/1/2023,$48.60 ,2.0953
NEMASSBOST,MA,1,6/1/2023,$52.20 ,2.71824
NEMASSBOST,MA,1,7/1/2023,$65.31 ,5.5638
NEMASSBOST,MA,1,8/1/2023,$61.91 ,4.1362
NEMASSBOST,MA,1,9/1/2023,$47.06 ,1.53118
NEMASSBOST,MA,1,10/1/2023,$47.35 ,1.2888
NEMASSBOST,MA,1,11/1/2023,$89.94 ,2.7249
NEMASSBOST,MA,1,12/1/2023,$167.24 ,4.4292
NEMASSBOST,MA,1,1/1/2024,$219.87 ,9.8834
NEMASSBOST,MA,1,2/1/2024,$211.25 ,7.9463
NEMASSBOST,MA,1,3/1/2024,$93.98 ,4.2208
NEMASSBOST,MA,1,4/1/2024,$56.84 ,1.34415
NEMASSBOST,MA,1,5/1/2024,$39.25 ,2.38042
NEMASSBOST,MA,1,6/1/2024,$42.92 ,2.18764
NEMASSBOST,MA,1,7/1/2024,$60.02 ,5.1036
NEMASSBOST,MA,1,8/1/2024,$56.55 ,3.7209
NEMASSBOST,MA,1,9/1/2024,$39.02 ,2.0295
NEMASSBOST,MA,1,10/1/2024,$42.08 ,1.1376
NEMASSBOST,MA,1,11/1/2024,$79.94 ,2.4422
NEMASSBOST,MA,1,12/1/2024,$133.33 ,3.5186
NEMASSBOST,MA,1,1/1/2025,$177.66 ,7.8882
NEMASSBOST,MA,1,2/1/2025,$172.10 ,6.4246
NEMASSBOST,MA,1,3/1/2025,$73.21 ,3.2808
NEMASSBOST,MA,1,4/1/2025,$43.36 ,1.025325
NEMASSBOST,MA,1,5/1/2025,$41.38 ,2.61352
NEMASSBOST,MA,1,6/1/2025,$42.22 ,2.17434
NEMASSBOST,MA,1,7/1/2025,$53.16 ,4.5036
NEMASSBOST,MA,1,8/1/2025,$49.52 ,3.236
NEMASSBOST,MA,1,9/1/2025,$38.31 ,1.942875
NEMASSBOST,MA,1,10/1/2025,$39.72 ,1.0656
NEMASSBOST,MA,1,11/1/2025,$60.12 ,2.58356
NEMASSBOST,MA,1,12/1/2025,$105.67 ,2.7955
NEMASSBOST,MA,1,1/1/2026,$132.53 ,6.0293
NEMASSBOST,MA,1,2/1/2026,$126.81 ,4.7485
NEMASSBOST,MA,1,3/1/2026,$68.11 ,3.0673
NEMASSBOST,MA,1,4/1/2026,$52.83 ,1.2492
NEMASSBOST,MA,1,5/1/2026,$46.24 ,2.1959
NEMASSBOST,MA,1,6/1/2026,$47.57 ,2.47156
NEMASSBOST,MA,1,7/1/2026,$59.27 ,5.0522
NEMASSBOST,MA,1,8/1/2026,$54.57 ,3.6177
NEMASSBOST,MA,1,9/1/2026,$47.07 ,1.48232
NEMASSBOST,MA,1,10/1/2026,$47.62 ,1.2978
NEMASSBOST,MA,1,11/1/2026,$57.08 ,2.43376
NEMASSBOST,MA,1,12/1/2026,$77.61 ,2.0382
NEMASSBOST,MA,1,1/1/2027,$130.13 ,5.992
NEMASSBOST,MA,1,2/1/2027,$123.50 ,4.598
NEMASSBOST,MA,1,3/1/2027,$73.94 ,3.2942
NEMASSBOST,MA,1,4/1/2027,$57.63 ,1.3626
NEMASSBOST,MA,1,5/1/2027,$49.86 ,2.383
NEMASSBOST,MA,1,6/1/2027,$50.99 ,2.68226
NEMASSBOST,MA,1,7/1/2027,$62.01 ,5.31
NEMASSBOST,MA,1,8/1/2027,$58.21 ,3.8581
NEMASSBOST,MA,1,9/1/2027,$50.91 ,1.61112
NEMASSBOST,MA,1,10/1/2027,$51.57 ,1.42335
NEMASSBOST,MA,1,11/1/2027,$62.27 ,2.6012
NEMASSBOST,MA,1,12/1/2027,$84.05 ,2.1928
NEMASSBOST,MA,1,1/1/2028,$124.27 ,5.6073
SEMASS,MA,1,2/1/2023,$167.55 ,8.4051
SEMASS,MA,1,3/1/2023,$103.00 ,5.6642
SEMASS,MA,1,4/1/2023,$64.04 ,1.527075
SEMASS,MA,1,5/1/2023,$48.82 ,2.3552
SEMASS,MA,1,6/1/2023,$51.96 ,2.3367
SEMASS,MA,1,7/1/2023,$64.79 ,5.7175
SEMASS,MA,1,8/1/2023,$61.34 ,4.534
SEMASS,MA,1,9/1/2023,$46.72 ,1.67874
SEMASS,MA,1,10/1/2023,$47.37 ,1.48995
SEMASS,MA,1,11/1/2023,$89.56 ,3.3104
SEMASS,MA,1,12/1/2023,$167.17 ,4.9442
SEMASS,MA,1,1/1/2024,$216.47 ,12.2341
SEMASS,MA,1,2/1/2024,$207.99 ,10.421
SEMASS,MA,1,3/1/2024,$92.00 ,5.0232
SEMASS,MA,1,4/1/2024,$56.34 ,1.309275
SEMASS,MA,1,5/1/2024,$39.02 ,2.66112
SEMASS,MA,1,6/1/2024,$42.66 ,2.67218
SEMASS,MA,1,7/1/2024,$59.28 ,5.2192
SEMASS,MA,1,8/1/2024,$55.96 ,4.0754
SEMASS,MA,1,9/1/2024,$38.85 ,1.40014
SEMASS,MA,1,10/1/2024,$41.92 ,1.324575
SEMASS,MA,1,11/1/2024,$78.68 ,2.963
SEMASS,MA,1,12/1/2024,$132.10 ,3.8677
SEMASS,MA,1,1/1/2025,$177.07 ,9.9109
SEMASS,MA,1,2/1/2025,$171.01 ,8.5892
SEMASS,MA,1,3/1/2025,$72.40 ,3.9495
SEMASS,MA,1,4/1/2025,$42.93 ,0.981675
SEMASS,MA,1,5/1/2025,$41.05 ,2.0756
SEMASS,MA,1,6/1/2025,$41.92 ,2.65132
SEMASS,MA,1,7/1/2025,$52.63 ,4.6104
SEMASS,MA,1,8/1/2025,$49.12 ,3.5309
SEMASS,MA,1,9/1/2025,$38.19 ,2.133675
SEMASS,MA,1,10/1/2025,$39.50 ,1.228275
SEMASS,MA,1,11/1/2025,$60.19 ,2.3141
SEMASS,MA,1,12/1/2025,$105.26 ,3.075
SEMASS,MA,1,1/1/2026,$131.63 ,7.4701
SEMASS,MA,1,2/1/2026,$125.32 ,6.2897
SEMASS,MA,1,3/1/2026,$67.33 ,3.6778
SEMASS,MA,1,4/1/2026,$52.15 ,1.1988
SEMASS,MA,1,5/1/2026,$45.67 ,2.4228
SEMASS,MA,1,6/1/2026,$47.05 ,2.1355
SEMASS,MA,1,7/1/2026,$58.27 ,5.1199
SEMASS,MA,1,8/1/2026,$53.71 ,3.9155
SEMASS,MA,1,9/1/2026,$46.94 ,1.62708
SEMASS,MA,1,10/1/2026,$47.12 ,1.4886
SEMASS,MA,1,11/1/2026,$56.24 ,2.1169
SEMASS,MA,1,12/1/2026,$76.44 ,2.2157
SEMASS,MA,1,1/1/2027,$129.01 ,7.3548
SEMASS,MA,1,2/1/2027,$122.31 ,6.1484
SEMASS,MA,1,3/1/2027,$72.95 ,3.937
SEMASS,MA,1,4/1/2027,$56.44 ,1.2906
SEMASS,MA,1,5/1/2027,$48.72 ,2.6131
SEMASS,MA,1,6/1/2027,$49.97 ,2.3088
SEMASS,MA,1,7/1/2027,$60.67 ,5.3955
SEMASS,MA,1,8/1/2027,$57.07 ,4.1934
SEMASS,MA,1,9/1/2027,$50.25 ,1.75364
SEMASS,MA,1,10/1/2027,$50.47 ,1.615725
SEMASS,MA,1,11/1/2027,$61.06 ,2.245
SEMASS,MA,1,12/1/2027,$83.18 ,2.3908
SEMASS,MA,1,1/1/2028,$123.19 ,6.9477
WCMASS,MA,1,2/1/2023,$165.11 ,7.7211
WCMASS,MA,1,3/1/2023,$101.51 ,5.9516
WCMASS,MA,1,4/1/2023,$62.56 ,1.98744
WCMASS,MA,1,5/1/2023,$48.25 ,2.6829
WCMASS,MA,1,6/1/2023,$51.68 ,2.52812
WCMASS,MA,1,7/1/2023,$64.52 ,4.4064
WCMASS,MA,1,8/1/2023,$61.27 ,4.03
WCMASS,MA,1,9/1/2023,$46.00 ,1.8676
WCMASS,MA,1,10/1/2023,$46.81 ,1.93185
WCMASS,MA,1,11/1/2023,$88.55 ,2.6786
WCMASS,MA,1,12/1/2023,$166.90 ,5.9485
WCMASS,MA,1,1/1/2024,$215.66 ,12.1713
WCMASS,MA,1,2/1/2024,$207.60 ,9.7209
WCMASS,MA,1,3/1/2024,$91.21 ,5.3449
WCMASS,MA,1,4/1/2024,$56.02 ,1.72298
WCMASS,MA,1,5/1/2024,$39.36 ,2.1971
WCMASS,MA,1,6/1/2024,$43.20 ,2.11218
WCMASS,MA,1,7/1/2024,$59.60 ,4.0352
WCMASS,MA,1,8/1/2024,$56.52 ,3.6485
WCMASS,MA,1,9/1/2024,$38.63 ,1.55372
WCMASS,MA,1,10/1/2024,$41.71 ,1.716975
WCMASS,MA,1,11/1/2024,$79.23 ,2.3815
WCMASS,MA,1,12/1/2024,$133.77 ,4.7575
WCMASS,MA,1,1/1/2025,$174.90 ,9.7842
WCMASS,MA,1,2/1/2025,$169.58 ,7.9267
WCMASS,MA,1,3/1/2025,$71.42 ,4.2103
WCMASS,MA,1,4/1/2025,$41.99 ,2.0907
WCMASS,MA,1,5/1/2025,$40.75 ,2.3477
WCMASS,MA,1,6/1/2025,$41.90 ,2.0335
WCMASS,MA,1,7/1/2025,$52.12 ,3.4824
WCMASS,MA,1,8/1/2025,$49.00 ,3.0999
WCMASS,MA,1,9/1/2025,$37.65 ,1.45306
WCMASS,MA,1,10/1/2025,$38.67 ,1.5624
WCMASS,MA,1,11/1/2025,$60.03 ,2.5116
WCMASS,MA,1,12/1/2025,$105.01 ,3.7436
WCMASS,MA,1,1/1/2026,$132.18 ,7.5351
WCMASS,MA,1,2/1/2026,$126.45 ,5.9149
WCMASS,MA,1,3/1/2026,$66.92 ,3.9279
WCMASS,MA,1,4/1/2026,$51.84 ,1.60286
WCMASS,MA,1,5/1/2026,$45.79 ,2.7798
WCMASS,MA,1,6/1/2026,$47.03 ,2.30776
WCMASS,MA,1,7/1/2026,$58.24 ,3.9326
WCMASS,MA,1,8/1/2026,$54.10 ,3.5014
WCMASS,MA,1,9/1/2026,$46.49 ,1.80376
WCMASS,MA,1,10/1/2026,$46.88 ,1.9341
WCMASS,MA,1,11/1/2026,$56.68 ,2.38672
WCMASS,MA,1,12/1/2026,$77.46 ,2.7425
WCMASS,MA,1,1/1/2027,$130.68 ,7.5198
WCMASS,MA,1,2/1/2027,$123.93 ,5.7869
WCMASS,MA,1,3/1/2027,$74.47 ,4.3446
WCMASS,MA,1,4/1/2027,$57.64 ,1.78556
WCMASS,MA,1,5/1/2027,$50.41 ,3.087
WCMASS,MA,1,6/1/2027,$51.46 ,2.5543
WCMASS,MA,1,7/1/2027,$62.36 ,4.276
WCMASS,MA,1,8/1/2027,$58.89 ,3.8252
WCMASS,MA,1,9/1/2027,$51.33 ,2.00886
WCMASS,MA,1,10/1/2027,$51.88 ,2.1681
WCMASS,MA,1,11/1/2027,$62.38 ,2.60204
WCMASS,MA,1,12/1/2027,$84.30 ,2.9637
WCMASS,MA,1,1/1/2028,$124.74 ,7.0717
MAINE,ME,1,2/1/2023,$165.61 ,5.0311
MAINE,ME,1,3/1/2023,$101.96 ,4.7203
MAINE,ME,1,4/1/2023,$62.08 ,0.4086
MAINE,ME,1,5/1/2023,$46.89 ,1.84455
MAINE,ME,1,6/1/2023,$50.50 ,1.87474
MAINE,ME,1,7/1/2023,$62.98 ,2.6783
MAINE,ME,1,8/1/2023,$59.83 ,2.36054
MAINE,ME,1,9/1/2023,$45.81 ,-0.147825
MAINE,ME,1,10/1/2023,$46.35 ,0.50625
MAINE,ME,1,11/1/2023,$87.68 ,3.6289
MAINE,ME,1,12/1/2023,$165.17 ,3.5404
MAINE,ME,1,1/1/2024,$215.29 ,10.4601
MAINE,ME,1,2/1/2024,$207.10 ,6.3118
MAINE,ME,1,3/1/2024,$89.88 ,4.0521
MAINE,ME,1,4/1/2024,$54.77 ,0.4689
MAINE,ME,1,5/1/2024,$37.36 ,1.420875
MAINE,ME,1,6/1/2024,$41.48 ,1.49436
MAINE,ME,1,7/1/2024,$57.94 ,2.4538
MAINE,ME,1,8/1/2024,$54.62 ,2.16972
MAINE,ME,1,9/1/2024,$37.78 ,-0.118125
MAINE,ME,1,10/1/2024,$40.66 ,0.484875
MAINE,ME,1,11/1/2024,$77.65 ,3.2638
MAINE,ME,1,12/1/2024,$129.97 ,2.7699
MAINE,ME,1,1/1/2025,$172.80 ,8.3715
MAINE,ME,1,2/1/2025,$167.30 ,5.0754
MAINE,ME,1,3/1/2025,$70.37 ,3.2071
MAINE,ME,1,4/1/2025,$40.87 ,0.260325
MAINE,ME,1,5/1/2025,$39.12 ,1.49625
MAINE,ME,1,6/1/2025,$40.41 ,1.47742
MAINE,ME,1,7/1/2025,$50.50 ,2.1372
MAINE,ME,1,8/1/2025,$47.18 ,1.88398
MAINE,ME,1,9/1/2025,$36.48 ,-0.10665
MAINE,ME,1,10/1/2025,$37.62 ,0.40455
MAINE,ME,1,11/1/2025,$58.10 ,2.4833
MAINE,ME,1,12/1/2025,$101.70 ,2.1669
MAINE,ME,1,1/1/2026,$130.25 ,6.3683
MAINE,ME,1,2/1/2026,$124.79 ,3.7895
MAINE,ME,1,3/1/2026,$65.71 ,2.9995
MAINE,ME,1,4/1/2026,$50.85 ,0.37665
MAINE,ME,1,5/1/2026,$44.59 ,1.598625
MAINE,ME,1,6/1/2026,$46.25 ,1.71472
MAINE,ME,1,7/1/2026,$57.44 ,2.4268
MAINE,ME,1,8/1/2026,$52.99 ,2.12492
MAINE,ME,1,9/1/2026,$46.01 ,-0.123975
MAINE,ME,1,10/1/2026,$46.06 ,0.498825
MAINE,ME,1,11/1/2026,$55.43 ,2.3333
MAINE,ME,1,12/1/2026,$75.13 ,2.2288
MAINE,ME,1,1/1/2027,$128.80 ,6.3384
MAINE,ME,1,2/1/2027,$122.55 ,3.7112
MAINE,ME,1,3/1/2027,$72.78 ,3.2623
MAINE,ME,1,4/1/2027,$56.13 ,0.36495
MAINE,ME,1,5/1/2027,$48.64 ,1.664325
MAINE,ME,1,6/1/2027,$50.16 ,1.8634
MAINE,ME,1,7/1/2027,$60.95 ,2.5873
MAINE,ME,1,8/1/2027,$57.29 ,2.2764
MAINE,ME,1,9/1/2027,$50.31 ,-0.159975
MAINE,ME,1,10/1/2027,$50.48 ,0.53865
MAINE,ME,1,11/1/2027,$60.64 ,2.4749
MAINE,ME,1,12/1/2027,$82.55 ,2.43082
MAINE,ME,1,1/1/2028,$122.92 ,5.9986
CONNECTICUT,CT,1,2/1/2023,$163.37 ,7.9385
CONNECTICUT,CT,1,3/1/2023,$100.63 ,5.5398
CONNECTICUT,CT,1,4/1/2023,$62.38 ,2.097675
CONNECTICUT,CT,1,5/1/2023,$47.58 ,2.378
CONNECTICUT,CT,1,6/1/2023,$50.87 ,2.0417
CONNECTICUT,CT,1,7/1/2023,$63.57 ,4.2245
CONNECTICUT,CT,1,8/1/2023,$60.04 ,4.4561
CONNECTICUT,CT,1,9/1/2023,$45.85 ,1.96826
CONNECTICUT,CT,1,10/1/2023,$46.21 ,1.568025
CONNECTICUT,CT,1,11/1/2023,$87.82 ,2.9981
CONNECTICUT,CT,1,12/1/2023,$164.01 ,5.661
CONNECTICUT,CT,1,1/1/2024,$216.94 ,11.9809
CONNECTICUT,CT,1,2/1/2024,$208.68 ,10.1914
CONNECTICUT,CT,1,3/1/2024,$90.71 ,4.9423
CONNECTICUT,CT,1,4/1/2024,$55.59 ,1.843425
CONNECTICUT,CT,1,5/1/2024,$38.57 ,2.7167
CONNECTICUT,CT,1,6/1/2024,$42.41 ,2.37286
CONNECTICUT,CT,1,7/1/2024,$58.65 ,3.8689
CONNECTICUT,CT,1,8/1/2024,$55.09 ,4.0053
CONNECTICUT,CT,1,9/1/2024,$38.10 ,1.62596
CONNECTICUT,CT,1,10/1/2024,$41.28 ,1.394325
CONNECTICUT,CT,1,11/1/2024,$78.53 ,2.6792
CONNECTICUT,CT,1,12/1/2024,$130.58 ,4.4801
CONNECTICUT,CT,1,1/1/2025,$168.34 ,9.1976
CONNECTICUT,CT,1,2/1/2025,$163.62 ,7.9453
CONNECTICUT,CT,1,3/1/2025,$70.87 ,3.8812
CONNECTICUT,CT,1,4/1/2025,$42.18 ,1.3986
CONNECTICUT,CT,1,5/1/2025,$40.79 ,2.1187
CONNECTICUT,CT,1,6/1/2025,$42.02 ,2.34808
CONNECTICUT,CT,1,7/1/2025,$52.03 ,3.3937
CONNECTICUT,CT,1,8/1/2025,$48.34 ,3.4487
CONNECTICUT,CT,1,9/1/2025,$37.47 ,1.54812
CONNECTICUT,CT,1,10/1/2025,$38.85 ,1.291275
CONNECTICUT,CT,1,11/1/2025,$59.09 ,2.0147
CONNECTICUT,CT,1,12/1/2025,$102.98 ,3.5378
CONNECTICUT,CT,1,1/1/2026,$136.63 ,7.6553
CONNECTICUT,CT,1,2/1/2026,$130.33 ,6.3506
CONNECTICUT,CT,1,3/1/2026,$67.99 ,3.7278
CONNECTICUT,CT,1,4/1/2026,$52.53 ,1.741725
CONNECTICUT,CT,1,5/1/2026,$46.56 ,2.5499
CONNECTICUT,CT,1,6/1/2026,$47.99 ,2.66994
CONNECTICUT,CT,1,7/1/2026,$58.98 ,3.8687
CONNECTICUT,CT,1,8/1/2026,$54.27 ,3.9323
CONNECTICUT,CT,1,9/1/2026,$47.11 ,1.9383
CONNECTICUT,CT,1,10/1/2026,$47.52 ,1.612575
CONNECTICUT,CT,1,11/1/2026,$57.14 ,2.73154
CONNECTICUT,CT,1,12/1/2026,$77.52 ,2.6484
CONNECTICUT,CT,1,1/1/2027,$131.89 ,7.462
CONNECTICUT,CT,1,2/1/2027,$125.07 ,6.0701
CONNECTICUT,CT,1,3/1/2027,$75.85 ,4.1631
CONNECTICUT,CT,1,4/1/2027,$59.61 ,1.976625
CONNECTICUT,CT,1,5/1/2027,$52.67 ,2.8582
CONNECTICUT,CT,1,6/1/2027,$53.70 ,2.0987
CONNECTICUT,CT,1,7/1/2027,$64.44 ,4.239
CONNECTICUT,CT,1,8/1/2027,$60.46 ,4.3538
CONNECTICUT,CT,1,9/1/2027,$53.31 ,2.18246
CONNECTICUT,CT,1,10/1/2027,$53.90 ,1.844775
CONNECTICUT,CT,1,11/1/2027,$64.26 ,2.1735
CONNECTICUT,CT,1,12/1/2027,$85.60 ,2.924
CONNECTICUT,CT,1,1/1/2028,$125.91 ,7.0036
NEWHAMPSHIRE,NH,1,2/1/2023,$167.36 ,5.9238
NEWHAMPSHIRE,NH,1,3/1/2023,$102.52 ,4.7328
NEWHAMPSHIRE,NH,1,4/1/2023,$62.97 ,1.331325
NEWHAMPSHIRE,NH,1,5/1/2023,$47.50 ,2.48934
NEWHAMPSHIRE,NH,1,6/1/2023,$50.95 ,1.876
NEWHAMPSHIRE,NH,1,7/1/2023,$64.09 ,3.9692
NEWHAMPSHIRE,NH,1,8/1/2023,$60.39 ,3.6987
NEWHAMPSHIRE,NH,1,9/1/2023,$46.38 ,1.4481
NEWHAMPSHIRE,NH,1,10/1/2023,$46.89 ,1.1997
NEWHAMPSHIRE,NH,1,11/1/2023,$88.64 ,2.3786
NEWHAMPSHIRE,NH,1,12/1/2023,$166.25 ,5.2206
NEWHAMPSHIRE,NH,1,1/1/2024,$214.70 ,10.6169
NEWHAMPSHIRE,NH,1,2/1/2024,$206.15 ,7.352
NEWHAMPSHIRE,NH,1,3/1/2024,$89.18 ,4.075
NEWHAMPSHIRE,NH,1,4/1/2024,$54.48 ,1.18215
NEWHAMPSHIRE,NH,1,5/1/2024,$37.09 ,1.94992
NEWHAMPSHIRE,NH,1,6/1/2024,$41.16 ,1.5036
NEWHAMPSHIRE,NH,1,7/1/2024,$57.69 ,3.5536
NEWHAMPSHIRE,NH,1,8/1/2024,$54.46 ,3.2988
NEWHAMPSHIRE,NH,1,9/1/2024,$37.49 ,1.16955
NEWHAMPSHIRE,NH,1,10/1/2024,$40.29 ,1.02195
NEWHAMPSHIRE,NH,1,11/1/2024,$77.34 ,2.0118
NEWHAMPSHIRE,NH,1,12/1/2024,$129.45 ,4.0621
NEWHAMPSHIRE,NH,1,1/1/2025,$174.65 ,8.5365
NEWHAMPSHIRE,NH,1,2/1/2025,$169.18 ,5.9718
NEWHAMPSHIRE,NH,1,3/1/2025,$70.26 ,3.2314
NEWHAMPSHIRE,NH,1,4/1/2025,$40.09 ,0.832275
NEWHAMPSHIRE,NH,1,5/1/2025,$38.87 ,2.14662
NEWHAMPSHIRE,NH,1,6/1/2025,$40.03 ,1.45656
NEWHAMPSHIRE,NH,1,7/1/2025,$50.11 ,3.0417
NEWHAMPSHIRE,NH,1,8/1/2025,$46.82 ,2.7944
NEWHAMPSHIRE,NH,1,9/1/2025,$36.12 ,1.082025
NEWHAMPSHIRE,NH,1,10/1/2025,$37.24 ,0.9621
NEWHAMPSHIRE,NH,1,11/1/2025,$58.26 ,2.02454
NEWHAMPSHIRE,NH,1,12/1/2025,$101.60 ,3.204
NEWHAMPSHIRE,NH,1,1/1/2026,$130.06 ,6.4744
NEWHAMPSHIRE,NH,1,2/1/2026,$124.05 ,4.3904
NEWHAMPSHIRE,NH,1,3/1/2026,$65.28 ,2.9883
NEWHAMPSHIRE,NH,1,4/1/2026,$50.42 ,1.046925
NEWHAMPSHIRE,NH,1,5/1/2026,$44.15 ,2.5872
NEWHAMPSHIRE,NH,1,6/1/2026,$45.69 ,1.68098
NEWHAMPSHIRE,NH,1,7/1/2026,$57.00 ,3.5017
NEWHAMPSHIRE,NH,1,8/1/2026,$52.67 ,3.1989
NEWHAMPSHIRE,NH,1,9/1/2026,$45.47 ,1.362375
NEWHAMPSHIRE,NH,1,10/1/2026,$45.56 ,1.16415
NEWHAMPSHIRE,NH,1,11/1/2026,$54.80 ,1.97036
NEWHAMPSHIRE,NH,1,12/1/2026,$74.54 ,2.3187
NEWHAMPSHIRE,NH,1,1/1/2027,$128.50 ,6.4204
NEWHAMPSHIRE,NH,1,2/1/2027,$121.87 ,4.2778
NEWHAMPSHIRE,NH,1,3/1/2027,$72.22 ,3.2635
NEWHAMPSHIRE,NH,1,4/1/2027,$55.45 ,1.1187
NEWHAMPSHIRE,NH,1,5/1/2027,$47.91 ,2.023
NEWHAMPSHIRE,NH,1,6/1/2027,$49.34 ,1.85976
NEWHAMPSHIRE,NH,1,7/1/2027,$60.26 ,3.7574
NEWHAMPSHIRE,NH,1,8/1/2027,$56.70 ,3.4567
NEWHAMPSHIRE,NH,1,9/1/2027,$49.52 ,1.485675
NEWHAMPSHIRE,NH,1,10/1/2027,$49.73 ,1.2627
NEWHAMPSHIRE,NH,1,11/1/2027,$60.28 ,2.14424
NEWHAMPSHIRE,NH,1,12/1/2027,$82.21 ,2.5473
NEWHAMPSHIRE,NH,1,1/1/2028,$122.61 ,6.0442
RHODEISLAND,RI,1,2/1/2023,$165.71 ,7.0244
RHODEISLAND,RI,1,3/1/2023,$101.31 ,4.7244
RHODEISLAND,RI,1,4/1/2023,$61.61 ,0.847575
RHODEISLAND,RI,1,5/1/2023,$46.77 ,2.41486
RHODEISLAND,RI,1,6/1/2023,$49.94 ,2.1551
RHODEISLAND,RI,1,7/1/2023,$63.27 ,4.6324
RHODEISLAND,RI,1,8/1/2023,$59.91 ,3.8827
RHODEISLAND,RI,1,9/1/2023,$45.06 ,1.58886
RHODEISLAND,RI,1,10/1/2023,$45.72 ,1.3437
RHODEISLAND,RI,1,11/1/2023,$87.60 ,1.34775
RHODEISLAND,RI,1,12/1/2023,$164.86 ,4.8339
RHODEISLAND,RI,1,1/1/2024,$216.44 ,10.7752
RHODEISLAND,RI,1,2/1/2024,$207.52 ,8.835
RHODEISLAND,RI,1,3/1/2024,$89.53 ,4.1099
RHODEISLAND,RI,1,4/1/2024,$54.17 ,0.7794
RHODEISLAND,RI,1,5/1/2024,$37.73 ,1.95356
RHODEISLAND,RI,1,6/1/2024,$41.40 ,2.4738
RHODEISLAND,RI,1,7/1/2024,$57.91 ,4.2443
RHODEISLAND,RI,1,8/1/2024,$54.54 ,3.4976
RHODEISLAND,RI,1,9/1/2024,$37.53 ,2.122875
RHODEISLAND,RI,1,10/1/2024,$40.79 ,1.167975
RHODEISLAND,RI,1,11/1/2024,$77.85 ,1.24425
RHODEISLAND,RI,1,12/1/2024,$129.77 ,3.7934
RHODEISLAND,RI,1,1/1/2025,$175.05 ,8.6363
RHODEISLAND,RI,1,2/1/2025,$168.70 ,7.145
RHODEISLAND,RI,1,3/1/2025,$70.82 ,3.2795
RHODEISLAND,RI,1,4/1/2025,$41.27 ,0.5625
RHODEISLAND,RI,1,5/1/2025,$39.60 ,2.09986
RHODEISLAND,RI,1,6/1/2025,$40.46 ,2.41626
RHODEISLAND,RI,1,7/1/2025,$50.71 ,3.6764
RHODEISLAND,RI,1,8/1/2025,$47.19 ,2.9732
RHODEISLAND,RI,1,9/1/2025,$36.36 ,1.987875
RHODEISLAND,RI,1,10/1/2025,$37.87 ,1.083825
RHODEISLAND,RI,1,11/1/2025,$58.62 ,0.98055
RHODEISLAND,RI,1,12/1/2025,$102.31 ,3.0033
RHODEISLAND,RI,1,1/1/2026,$130.34 ,6.55
RHODEISLAND,RI,1,2/1/2026,$124.03 ,5.2562
RHODEISLAND,RI,1,3/1/2026,$65.18 ,3.021
RHODEISLAND,RI,1,4/1/2026,$50.75 ,0.7101
RHODEISLAND,RI,1,5/1/2026,$44.53 ,2.43278
RHODEISLAND,RI,1,6/1/2026,$45.82 ,2.74386
RHODEISLAND,RI,1,7/1/2026,$57.04 ,4.1574
RHODEISLAND,RI,1,8/1/2026,$52.51 ,3.3597
RHODEISLAND,RI,1,9/1/2026,$45.38 ,1.5386
RHODEISLAND,RI,1,10/1/2026,$45.79 ,1.345725
RHODEISLAND,RI,1,11/1/2026,$55.46 ,0.885375
RHODEISLAND,RI,1,12/1/2026,$74.73 ,2.1774
RHODEISLAND,RI,1,1/1/2027,$129.21 ,6.5613
RHODEISLAND,RI,1,2/1/2027,$122.26 ,5.1582
RHODEISLAND,RI,1,3/1/2027,$72.77 ,3.3409
RHODEISLAND,RI,1,4/1/2027,$56.03 ,0.76725
RHODEISLAND,RI,1,5/1/2027,$48.58 ,2.66602
RHODEISLAND,RI,1,6/1/2027,$49.73 ,2.1595
RHODEISLAND,RI,1,7/1/2027,$60.53 ,4.4598
RHODEISLAND,RI,1,8/1/2027,$56.83 ,3.6514
RHODEISLAND,RI,1,9/1/2027,$49.69 ,1.69666
RHODEISLAND,RI,1,10/1/2027,$50.20 ,1.5165
RHODEISLAND,RI,1,11/1/2027,$60.67 ,0.9711
RHODEISLAND,RI,1,12/1/2027,$82.68 ,2.406
RHODEISLAND,RI,1,1/1/2028,$123.34 ,6.1584
